"number","suit","face_card"
"2","Spade","no"
"3","Spade","no"
"4","Spade","no"
"5","Spade","no"
"6","Spade","no"
"7","Spade","no"
"8","Spade","no"
"9","Spade","no"
"10","Spade","no"
"J","Spade","yes"
"Q","Spade","yes"
"K","Spade","yes"
"A","Spade","yes"
"2","Diamond","no"
"3","Diamond","no"
"4","Diamond","no"
"5","Diamond","no"
"6","Diamond","no"
"7","Diamond","no"
"8","Diamond","no"
"9","Diamond","no"
"10","Diamond","no"
"J","Diamond","yes"
"Q","Diamond","yes"
"K","Diamond","yes"
"A","Diamond","yes"
"2","Club","no"
"3","Club","no"
"4","Club","no"
"5","Club","no"
"6","Club","no"
"7","Club","no"
"8","Club","no"
"9","Club","no"
"10","Club","no"
"J","Club","yes"
"Q","Club","yes"
"K","Club","yes"
"A","Club","yes"
"2","Heart","no"
"3","Heart","no"
"4","Heart","no"
"5","Heart","no"
"6","Heart","no"
"7","Heart","no"
"8","Heart","no"
"9","Heart","no"
"10","Heart","no"
"J","Heart","yes"
"Q","Heart","yes"
"K","Heart","yes"
"A","Heart","yes"
