"location","date","kwh"
"Inner_Sunset",2015-12-22,2.43
"Inner_Sunset",2015-12-23,11.65
"Inner_Sunset",2015-12-24,6.03
"Inner_Sunset",2015-12-25,12.25
"Inner_Sunset",2015-12-26,13.34
"Inner_Sunset",2015-12-27,5.67
"Inner_Sunset",2015-12-28,7.99
"Inner_Sunset",2015-12-29,12.91
"Inner_Sunset",2015-12-30,1.89
"Inner_Sunset",2015-12-31,13.51
"Inner_Sunset",2016-01-01,13.31
"Inner_Sunset",2016-01-02,4.81
"Inner_Sunset",2016-01-03,2.48
"Inner_Sunset",2016-01-04,3.42
"Inner_Sunset",2016-01-05,1.58
"Inner_Sunset",2016-01-06,3.46
"Inner_Sunset",2016-01-07,8.39
"Inner_Sunset",2016-01-08,3.46
"Inner_Sunset",2016-01-09,1.4
"Inner_Sunset",2016-01-10,4.36
"Inner_Sunset",2016-01-11,4.07
"Inner_Sunset",2016-01-12,6.69
"Inner_Sunset",2016-01-13,8.65
"Inner_Sunset",2016-01-14,2.34
"Inner_Sunset",2016-01-15,10.78
"Inner_Sunset",2016-01-16,1.88
"Inner_Sunset",2016-01-17,0.63
"Inner_Sunset",2016-01-18,4.51
"Inner_Sunset",2016-01-19,2.27
"Inner_Sunset",2016-01-20,8.26
"Inner_Sunset",2016-01-21,8.2
"Inner_Sunset",2016-01-22,0.88
"Inner_Sunset",2016-01-23,5.01
"Inner_Sunset",2016-01-24,10.27
"Inner_Sunset",2016-01-25,7.92
"Inner_Sunset",2016-01-26,10.2
"Inner_Sunset",2016-01-27,13.15
"Inner_Sunset",2016-01-28,4.3
"Inner_Sunset",2016-01-29,0.65
"Inner_Sunset",2016-01-30,10.01
"Inner_Sunset",2016-01-31,12.89
"Inner_Sunset",2016-02-01,13.32
"Inner_Sunset",2016-02-02,8.77
"Inner_Sunset",2016-02-03,7.07
"Inner_Sunset",2016-02-04,13.32
"Inner_Sunset",2016-02-05,14.43
"Inner_Sunset",2016-02-06,14.06
"Inner_Sunset",2016-02-07,15.02
"Inner_Sunset",2016-02-08,15.35
"Inner_Sunset",2016-02-09,13.78
"Inner_Sunset",2016-02-10,11.64
"Inner_Sunset",2016-02-11,9.51
"Inner_Sunset",2016-02-12,11.64
"Inner_Sunset",2016-02-13,14.77
"Inner_Sunset",2016-02-14,12.61
"Inner_Sunset",2016-02-15,15.54
"Inner_Sunset",2016-02-16,14.97
"Inner_Sunset",2016-02-17,4.87
"Inner_Sunset",2016-02-18,13.92
"Inner_Sunset",2016-02-19,6.15
"Inner_Sunset",2016-02-20,13.31
"Inner_Sunset",2016-02-21,15.82
"Inner_Sunset",2016-02-22,15.64
"Inner_Sunset",2016-02-23,15.42
"Inner_Sunset",2016-02-24,15.35
"Inner_Sunset",2016-02-25,14.67
"Inner_Sunset",2016-02-26,10.13
"Inner_Sunset",2016-02-27,14.48
"Inner_Sunset",2016-02-28,7.96
"Haight_Ashbury",2015-12-22,5.72
"Haight_Ashbury",2015-12-23,18.49
"Haight_Ashbury",2015-12-24,13.97
"Haight_Ashbury",2015-12-25,19.93
"Haight_Ashbury",2015-12-26,20.08
"Haight_Ashbury",2015-12-27,13.76
"Haight_Ashbury",2015-12-28,11.94
"Haight_Ashbury",2015-12-29,20.16
"Haight_Ashbury",2015-12-30,7.4
"Haight_Ashbury",2015-12-31,20.7
"Haight_Ashbury",2016-01-01,20.61
"Haight_Ashbury",2016-01-02,10.69
"Haight_Ashbury",2016-01-03,8.92
"Haight_Ashbury",2016-01-04,9.11
"Haight_Ashbury",2016-01-05,5.56
"Haight_Ashbury",2016-01-06,10.92
"Haight_Ashbury",2016-01-07,14.61
"Haight_Ashbury",2016-01-08,11.14
"Haight_Ashbury",2016-01-09,6.36
"Haight_Ashbury",2016-01-10,8.83
"Haight_Ashbury",2016-01-11,11.93
"Haight_Ashbury",2016-01-12,13.04
"Haight_Ashbury",2016-01-13,16.64
"Haight_Ashbury",2016-01-14,7.79
"Haight_Ashbury",2016-01-15,18.45
"Haight_Ashbury",2016-01-16,9.33
"Haight_Ashbury",2016-01-17,3.93
"Haight_Ashbury",2016-01-18,12.03
"Haight_Ashbury",2016-01-19,9.61
"Haight_Ashbury",2016-01-20,18.41
"Haight_Ashbury",2016-01-21,14.6
"Haight_Ashbury",2016-01-22,3.82
"Haight_Ashbury",2016-01-23,13.33
"Haight_Ashbury",2016-01-24,23.11
"Haight_Ashbury",2016-01-25,19.88
"Haight_Ashbury",2016-01-26,21.99
"Haight_Ashbury",2016-01-27,23.69
"Haight_Ashbury",2016-01-28,11.79
"Haight_Ashbury",2016-01-29,4.79
"Haight_Ashbury",2016-01-30,21.3
"Haight_Ashbury",2016-01-31,27.09
"Haight_Ashbury",2016-02-01,27.89
"Haight_Ashbury",2016-02-02,18.62
"Haight_Ashbury",2016-02-03,16.27
"Haight_Ashbury",2016-02-04,24.3
"Haight_Ashbury",2016-02-05,27.31
"Haight_Ashbury",2016-02-06,27.02
"Haight_Ashbury",2016-02-07,28.31
"Haight_Ashbury",2016-02-08,28.58
"Haight_Ashbury",2016-02-09,22.99
"Haight_Ashbury",2016-02-10,24.73
"Haight_Ashbury",2016-02-11,24.25
"Haight_Ashbury",2016-02-12,27.19
"Haight_Ashbury",2016-02-13,32.08
"Haight_Ashbury",2016-02-14,29.67
"Haight_Ashbury",2016-02-15,31.35
"Haight_Ashbury",2016-02-16,31.15
"Haight_Ashbury",2016-02-17,14.43
"Haight_Ashbury",2016-02-18,30.52
"Haight_Ashbury",2016-02-19,16.03
"Haight_Ashbury",2016-02-20,32.97
"Haight_Ashbury",2016-02-21,34.38
"Haight_Ashbury",2016-02-22,35.01
"Haight_Ashbury",2016-02-23,35.5
"Haight_Ashbury",2016-02-24,35.06
"Haight_Ashbury",2016-02-25,34.35
"Haight_Ashbury",2016-02-26,31.19
"Haight_Ashbury",2016-02-27,34.27
"Haight_Ashbury",2016-02-28,25.19
"Haight_Ashbury",2016-02-29,36.89
"Haight_Ashbury",2016-03-01,39.42
"Haight_Ashbury",2016-03-02,24.64
"Haight_Ashbury",2016-03-03,10.45
"Haight_Ashbury",2016-03-04,7.17
"Haight_Ashbury",2016-03-05,7.34
"Haight_Ashbury",2016-03-06,21.01
"Haight_Ashbury",2016-03-07,25.47
"Haight_Ashbury",2016-03-08,19.21
"Haight_Ashbury",2016-03-09,15.51
"Haight_Ashbury",2016-03-10,6.02
"Haight_Ashbury",2016-03-11,14.59
"Haight_Ashbury",2016-03-12,11.43
"Haight_Ashbury",2016-03-13,7.21
"Haight_Ashbury",2016-03-14,41.18
"Haight_Ashbury",2016-03-15,44.73
"Haight_Ashbury",2016-03-16,44.3
"Haight_Ashbury",2016-03-17,44.8
"Haight_Ashbury",2016-03-18,38.63
"Haight_Ashbury",2016-03-19,37.1
"Haight_Ashbury",2016-03-20,14.91
"Haight_Ashbury",2016-03-21,22.38
"Haight_Ashbury",2016-03-22,44.45
"Haight_Ashbury",2016-03-23,46.31
"Haight_Ashbury",2016-03-24,47.85
"Haight_Ashbury",2016-03-25,48.13
"Haight_Ashbury",2016-03-26,46.93
"Haight_Ashbury",2016-03-27,46.08
"Haight_Ashbury",2016-03-28,50.68
"Haight_Ashbury",2016-03-29,50.33
"Haight_Ashbury",2016-03-30,47.23
"Haight_Ashbury",2016-03-31,42.92
"Haight_Ashbury",2016-04-01,50.79
"Haight_Ashbury",2016-04-02,43.91
"Haight_Ashbury",2016-04-03,47.7
"Haight_Ashbury",2016-04-04,51.57
"Haight_Ashbury",2016-04-05,50.92
"Haight_Ashbury",2016-04-06,47.89
"Haight_Ashbury",2016-04-07,38.26
"Haight_Ashbury",2016-04-08,26.88
"Haight_Ashbury",2016-04-09,13.04
"Haight_Ashbury",2016-04-10,16.82
"Haight_Ashbury",2016-04-11,35.28
"Haight_Ashbury",2016-04-12,45.7
"Haight_Ashbury",2016-04-13,55.47
"Haight_Ashbury",2016-04-14,55.46
"Haight_Ashbury",2016-04-15,57.43
"Haight_Ashbury",2016-04-16,54.6
"Haight_Ashbury",2016-04-17,53.96
"Haight_Ashbury",2016-04-18,54.17
"Haight_Ashbury",2016-04-19,42.11
"Haight_Ashbury",2016-04-20,54.7
"Haight_Ashbury",2016-04-21,39.35
"Haight_Ashbury",2016-04-22,39.09
"Haight_Ashbury",2016-04-23,54.69
"Haight_Ashbury",2016-04-24,58.13
"Haight_Ashbury",2016-04-25,60.68
"Haight_Ashbury",2016-04-26,51.12
"Haight_Ashbury",2016-04-27,52.96
"Haight_Ashbury",2016-04-28,60.53
"Haight_Ashbury",2016-04-29,59.4
"Haight_Ashbury",2016-04-30,59.14
"Haight_Ashbury",2016-05-01,58.48
"Haight_Ashbury",2016-05-02,47.92
"Haight_Ashbury",2016-05-03,40.81
"Haight_Ashbury",2016-05-04,43.32
"Haight_Ashbury",2016-05-05,46.06
"Haight_Ashbury",2016-05-06,16.91
"Haight_Ashbury",2016-05-07,15.8
"Haight_Ashbury",2016-05-08,50.47
"Haight_Ashbury",2016-05-09,44.92
"Haight_Ashbury",2016-05-10,54.88
"Haight_Ashbury",2016-05-11,43.8
"Haight_Ashbury",2016-05-12,56.35
"Haight_Ashbury",2016-05-13,53.87
"Haight_Ashbury",2016-05-14,49.09
"Haight_Ashbury",2016-05-15,63.07
"Haight_Ashbury",2016-05-16,61.93
"Haight_Ashbury",2016-05-17,61.02
"Haight_Ashbury",2016-05-18,62.72
"Haight_Ashbury",2016-05-19,59.09
"Haight_Ashbury",2016-05-20,63.22
"Haight_Ashbury",2016-05-21,53.32
"Haight_Ashbury",2016-05-22,52.38
"Haight_Ashbury",2016-05-23,53.31
"Haight_Ashbury",2016-05-24,40.28
"Haight_Ashbury",2016-05-25,36.78
"Haight_Ashbury",2016-05-26,62.13
"Haight_Ashbury",2016-05-27,63.13
"Haight_Ashbury",2016-05-28,61.41
"Haight_Ashbury",2016-05-29,61.47
"Haight_Ashbury",2016-05-30,61.57
"Haight_Ashbury",2016-05-31,64.48
"Haight_Ashbury",2016-06-01,50.91
"Haight_Ashbury",2016-06-02,61.2
"Haight_Ashbury",2016-06-03,60.53
"Haight_Ashbury",2016-06-04,39.82
"Haight_Ashbury",2016-06-05,51.82
"Haight_Ashbury",2016-06-06,39.43
"Haight_Ashbury",2016-06-07,38.37
"Haight_Ashbury",2016-06-08,51.65
"Haight_Ashbury",2016-06-09,39.04
"Haight_Ashbury",2016-06-10,64.17
"Haight_Ashbury",2016-06-11,63.89
"Haight_Ashbury",2016-06-12,65.34
"Haight_Ashbury",2016-06-13,58.85
"Haight_Ashbury",2016-06-14,63.37
"Haight_Ashbury",2016-06-15,60.43
"Haight_Ashbury",2016-06-16,56.44
"Haight_Ashbury",2016-06-17,27.06
"Haight_Ashbury",2016-06-18,64.84
"Haight_Ashbury",2016-06-19,60.12
"Haight_Ashbury",2016-06-20,64.63
"Haight_Ashbury",2016-06-21,65.08
"Haight_Ashbury",2016-06-22,59.14
"Haight_Ashbury",2016-06-23,65.06
"Haight_Ashbury",2016-06-24,64.98
"Haight_Ashbury",2016-06-25,65.66
"Haight_Ashbury",2016-06-26,65.35
"Haight_Ashbury",2016-06-27,66.21
"Haight_Ashbury",2016-06-28,63.68
"Haight_Ashbury",2016-06-29,30.13
"Haight_Ashbury",2016-06-30,65.01
"Haight_Ashbury",2016-07-01,58.14
"Haight_Ashbury",2016-07-02,54.6
"Haight_Ashbury",2016-07-03,51.25
"Haight_Ashbury",2016-07-04,48.42
"Haight_Ashbury",2016-07-05,33.11
"Haight_Ashbury",2016-07-06,29.45
"Haight_Ashbury",2016-07-07,30.98
"Haight_Ashbury",2016-07-08,44.66
"Haight_Ashbury",2016-07-09,50.21
"Haight_Ashbury",2016-07-10,64.83
"Haight_Ashbury",2016-07-11,65.48
"Haight_Ashbury",2016-07-12,61.42
"Haight_Ashbury",2016-07-13,64.49
"Haight_Ashbury",2016-07-14,58.62
"Haight_Ashbury",2016-07-15,50.82
"Haight_Ashbury",2016-07-16,57.68
"Haight_Ashbury",2016-07-17,28.72
"Haight_Ashbury",2016-07-18,50.2
"Haight_Ashbury",2016-07-19,56.72
"Haight_Ashbury",2016-07-20,61.13
"Haight_Ashbury",2016-07-21,61.74
"Haight_Ashbury",2016-07-22,64.82
"Haight_Ashbury",2016-07-23,63.71
