"treatment","torque"
"none",110.1
"none",123.1
"none",140.8
"none",129.4
"Acetone/ATF",114.4
"Acetone/ATF",129.5
"Acetone/ATF",105.6
"Acetone/ATF",106.7
"AeroKroil",133.9
"AeroKroil",124.6
"AeroKroil",107.2
"AeroKroil",132.5
"Liquid Wrench",114.3
"Liquid Wrench",88.9
"Liquid Wrench",87.1
"Liquid Wrench",98.8
"PB Blaster",110.6
"PB Blaster",126.9
"PB Blaster",122.9
"PB Blaster",127.7
"Royal Purple",122.8
"Royal Purple",131.5
"Royal Purple",108.3
"Royal Purple",114.4
"WD-40",105.7
"WD-40",131.1
"WD-40",118.3
"WD-40",130.1
"Heat",99.2
"Heat",83.7
